what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1675981914189
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1675981914189
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1675981914189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981914644
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1675981946719
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1675981946766
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1675981947880
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1675981948978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981955234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981956408
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1675981956533
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1675981956533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981960167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981969619
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981973217
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1675981973390
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981973503
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1675981973672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981974844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981976667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981996798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981997441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675982001364
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675982002825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1675982003893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1675982004603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1675982005302
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675982006199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675982008059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675982012216
