what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1675981496581
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1675981496581
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1675981496596
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1675981496596
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1675981496596
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1675981496596
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1675981496596
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1675981496596
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1675981496596
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1675981496596
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1675981496596
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1675981496596
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1675981496596
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1675981496596
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1675981496596
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1675981496596
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1675981496596
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1675981496596
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1675981496596
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1675981496596
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1675981496596
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1675981496596
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1675981496596
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1675981496596
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1675981496612
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1675981496612
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1675981496612
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1675981496612
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1675981496612
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1675981496612
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1675981496612
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1675981496612
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1675981496612
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1675981496612
os,sysinfo,,,"win32",1675981496612
arch,sysinfo,,,"x86",1675981496612
ws,sysinfo,,,"win32",1675981496612
locale,sysinfo,,,"pt_BR",1675981496612
processors,sysinfo,,,"8",1675981496612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1675981496612
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1675981496612
java.specification.name,sysinfo,,,"Java Platform API Specification",1675981496612
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1675981496612
java.specification.version,sysinfo,,,"1.6",1675981496612
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1675981496612
java.version,sysinfo,,,"1.6.0_23",1675981496612
java.vm.info,sysinfo,,,"mixed mode",1675981496612
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1675981496612
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1675981496612
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1675981496612
java.vm.specification.version,sysinfo,,,"1.0",1675981496612
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1675981496612
java.vm.version,sysinfo,,,"19.0-b09",1675981496612
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1675981497083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1675981497569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1675981498385
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1675981499985
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1675981500926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1675981500953
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981502134
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1675981502291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981504110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981507326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981523320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981567912
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981568943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1675981570010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1675981570654
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981571767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981573978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981576771
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1675981582435
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1675981583674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981590202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981597874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981600195
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1675981603037
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981607131
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981608448
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981610817
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981610911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1675981633755
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981635954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981639323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981641771
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1675981643637
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1675981646398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981647762
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1675981649285
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1675981649300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981649347
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1675981649382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1675981649382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981652798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1675981655639
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1675981655639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1675981655639
